code,date,open,high,low,close
5558,17-Jun-97,1134.9,1145.8,1127.15,1138.8
5559,16-Jun-97,1135.3,1141.05,1121.85,1129.7
5560,13-Jun-97,1124.95,1147.5,1122.75,1136.3
5561,12-Jun-97,1106.1,1122.2,1105.75,1120.7
5562,11-Jun-97,1090.45,1108.95,1090.45,1104.6
5563,10-Jun-97,1075.3,1084.15,1075.2,1081.1
5564,9-Jun-97,1082.95,1082.95,1071.55,1074.65
5565,6-Jun-97,1087.5,1091.05,1081.3,1082.75
5566,5-Jun-97,1089.85,1095.5,1082.85,1086.6
5567,4-Jun-97,1081.55,1090.95,1078.8,1085.75
5568,3-Jun-97,1067.65,1081.75,1067.55,1073.75
5569,2-Jun-97,1053.05,1066.15,1051.05,1064.95
5570,30-May-97,1039.85,1051.2,1038.3,1050.9
5571,29-May-97,1024.75,1040.05,1023.8,1038.2
5572,28-May-97,1032.5,1035.35,1024.55,1027
5573,27-May-97,1027.5,1031.5,1023.45,1025.7
5574,26-May-97,1032.15,1035.8,1025.5,1026.9
5575,23-May-97,1037,1039,1028.75,1033.7
5576,22-May-97,1042.45,1043.8,1034.35,1037.2
5577,21-May-97,1047.5,1049.7,1040.55,1042
5578,20-May-97,1051.55,1053.25,1045.3,1050.85
5579,19-May-97,1052.2,1059.25,1048.05,1050.8
5580,16-May-97,1043.4,1049.75,1041.1,1048.4
5581,15-May-97,1041.65,1049,1036.25,1045
5582,14-May-97,1030.35,1044.15,1018.15,1041.65
5583,13-May-97,1041.05,1042.25,1027.5,1031.05
5584,12-May-97,1052.8,1056.5,1039.05,1040.5
5585,9-May-97,1054.6,1063,1048.05,1053.35
5586,8-May-97,1043.7,1055.4,1039.8,1054.05
5587,7-May-97,1053.1,1055.05,1042.55,1044.4
5588,6-May-97,1045.8,1050.55,1038.75,1048.4
5589,5-May-97,1061.8,1061.8,1043.55,1045.5
5590,2-May-97,1074.7,1074.7,1063.75,1069
5591,30-Apr-97,1081.1,1088.4,1075.95,1079.85
5592,29-Apr-97,1063.6,1065.4,1052.8,1057.45
5593,28-Apr-97,1068.6,1070.7,1061.2,1065.4
5594,25-Apr-97,1065.4,1071.05,1062.95,1069.4
5595,24-Apr-97,1071.4,1075.9,1063.3,1067.2
5596,23-Apr-97,1065.95,1078.05,1063.85,1071.05
5597,22-Apr-97,1066.7,1073.9,1056.4,1059.8
5598,21-Apr-97,1041.45,1061.8,1041.25,1060.6
5599,17-Apr-97,1020.4,1036.15,1018.25,1035.2
5600,15-Apr-97,1010.65,1018.6,1010.65,1014.9
5601,12-Apr-97,1004.9,1009.9,999.3,1003.25
5602,11-Apr-97,993.3,1017.2,985.65,1013.4
5603,10-Apr-97,1024.45,1024.7,1000.3,1008.35
5604,9-Apr-97,1009.95,1031.15,1009.95,1030.3
5605,7-Apr-97,997.5,998,988,990.9
5606,4-Apr-97,1001.9,1002,996.6,1001
5607,3-Apr-97,1004.3,1012.75,1000.55,1010.65
5608,2-Apr-97,982.1,1004.65,982.1,1002.2
5609,1-Apr-97,931.95,973.85,931.5,970.15
5610,31-Mar-97,1012.15,1012.15,966.8,968.3
5611,27-Mar-97,1057.45,1059,1047.7,1057.8
5612,26-Mar-97,1062.5,1067.2,1057.5,1059.2
5613,25-Mar-97,1064.5,1067.25,1054.5,1058.35
5614,21-Mar-97,1058.7,1069.5,1058.55,1061.4
5615,20-Mar-97,1049,1059.5,1040.95,1054.8
5616,19-Mar-97,1074.25,1079.6,1050,1052.05
5617,18-Mar-97,1072.3,1074.5,1061.05,1064.35
5618,17-Mar-97,1071.95,1076.25,1065.45,1072.6
5619,14-Mar-97,1062.2,1076.65,1057.55,1070.1
5620,13-Mar-97,1076.85,1078.6,1062.7,1066.5
5621,12-Mar-97,1066.55,1088.65,1065.25,1074.2
5622,11-Mar-97,1073.8,1083.35,1046.3,1052
5623,10-Mar-97,1118.8,1118.8,1075.05,1078.7
5624,6-Mar-97,1127,1135.75,1119.3,1127.25
5625,5-Mar-97,1144.25,1167.95,1122.25,1132.9
5626,4-Mar-97,1111.75,1121.4,1098.2,1117.3
5627,3-Mar-97,1102.45,1140.65,1095.9,1107.7
5628,1-Mar-97,1070.8,1106.6,1070.8,1102.95
5629,28-Feb-97,998.25,1006.6,996,998.65
5630,27-Feb-97,972.35,994.5,972.05,992.75
5631,26-Feb-97,963.95,970.5,956.75,968.85
5632,25-Feb-97,962.6,975.25,954.5,966.1
5633,24-Feb-97,988.7,988.9,961.95,964.75
5634,21-Feb-97,1000.75,1002,989.5,991.55
5635,20-Feb-97,1009.55,1009.6,1000.55,1003.1
5636,19-Feb-97,1004.05,1013.05,993.85,1011.85
5637,18-Feb-97,1020.75,1020.85,998.9,1000.75
5638,17-Feb-97,1017.75,1024.3,1015.1,1020.1
5639,14-Feb-97,1001.3,1011.85,1001.1,1009.45
5640,13-Feb-97,998.45,1005.1,995.35,1002.15
5641,12-Feb-97,991.65,1008.8,990.9,1001
5642,11-Feb-97,980.95,996.05,978.85,992.75
5643,10-Feb-97,981,986.75,975.15,981.45
5644,7-Feb-97,969.5,980.95,966.5,978.8
5645,6-Feb-97,960.75,972.4,953.95,967.75
5646,5-Feb-97,970.75,984.8,959.5,962.5
5647,4-Feb-97,947,963.2,944.45,958.3
5648,3-Feb-97,967.9,967.9,944.2,948.2
5649,31-Jan-97,988.7,988.7,965.85,972.65
5650,30-Jan-97,1010.6,1012.85,993.5,1000
5651,29-Jan-97,1038.1,1043.9,1007.1,1017.2
5652,28-Jan-97,1016,1025.1,1007.95,1021.8
5653,27-Jan-97,993.15,1017.3,990.3,1009.15
5654,24-Jan-97,991.05,991.4,979.55,985.9
5655,22-Jan-97,971.4,992.9,971.4,987.1
5656,21-Jan-97,972.1,980.2,956.45,960.5
5657,20-Jan-97,1004.1,1005.55,973.95,977
5658,17-Jan-97,994.1,1009.7,976.35,1001.75
5659,16-Jan-97,1064.05,1085.75,995.35,1009.4
5660,15-Jan-97,997.5,1042.75,997.05,1041.8
5661,14-Jan-97,984,994.4,977.7,989.3
5662,13-Jan-97,978.55,982.25,965.5,980.7
5663,10-Jan-97,962.7,984.1,962.7,980.35
5664,9-Jan-97,945.15,959.75,943.6,956.6
5665,8-Jan-97,937.35,953.1,937.35,946.7
5666,7-Jan-97,926.35,935.15,922.25,928.8
5667,6-Jan-97,932.45,937.95,925.65,927.8
5668,3-Jan-97,924.3,932.6,919.55,931.65
5669,2-Jan-97,941.95,944,925.05,927.05
5670,1-Jan-97,905.2,941.4,905.2,939.55
5671,31-Dec-96,918.15,922.1,895.6,899.1
5672,26-Dec-96,887.95,913.35,887.95,911.8
5673,24-Dec-96,881.85,887.5,874.05,884.05
5674,23-Dec-96,884.4,890.65,878.1,882
5675,20-Dec-96,864.25,887.92,864.25,884.38
5676,19-Dec-96,858.03,864.54,853.47,860.58
5677,18-Dec-96,850.69,871.84,850.69,860.4
5678,17-Dec-96,846.06,853.36,841,850.74
5679,16-Dec-96,823.71,848.88,823.71,847.27
5680,13-Dec-96,826.54,826.54,814.89,824.62
5681,12-Dec-96,838.86,847.36,825.52,827.25
5682,11-Dec-96,806.46,839.13,803.68,837.07
5683,10-Dec-96,807.73,808.53,797.66,803.2
5684,9-Dec-96,809.03,816.2,804.97,808.69
5685,6-Dec-96,805.51,815.03,805.47,808.19
5686,5-Dec-96,786.37,808.21,781.54,802.23
5687,4-Dec-96,805.4,805.82,775.43,788.15
5688,3-Dec-96,819.77,819.77,804.46,809.43
5689,2-Dec-96,830.48,834.92,818.61,820.25
5690,29-Nov-96,825.59,833.81,825.59,830.32
5691,28-Nov-96,829.28,835.15,823.26,825.47
5692,27-Nov-96,848.17,848.21,822.17,829.08
5693,26-Nov-96,856.31,870.84,847.6,855.48
5694,25-Nov-96,850.24,859.24,826.99,852.26
5695,22-Nov-96,867.82,868.18,848.13,850.33
5696,21-Nov-96,876.36,878.26,866.97,869.82
5697,20-Nov-96,897.99,897.99,875.36,876.61
5698,19-Nov-96,904.5,905.61,895.86,897.58
5699,18-Nov-96,893.95,904.89,893.95,904.05
5700,15-Nov-96,888.58,894.62,885.62,894.31
5701,14-Nov-96,895.67,897.92,885.21,889.39
5702,13-Nov-96,895.98,898.54,889.47,896.84
5703,11-Nov-96,879.28,895.64,876.83,891.27
5704,10-Nov-96,885.21,886.84,878.57,880.36
5705,8-Nov-96,876.11,885.68,876.11,884.64
5706,7-Nov-96,867.24,876.25,866.76,874.89
5707,6-Nov-96,879.81,880.15,851.77,866.57
5708,5-Nov-96,890.19,894.4,878.29,881.57
5709,4-Nov-96,906.56,906.56,886.68,890.13
5710,1-Nov-96,910.32,915.39,904.95,906.68
5711,31-Oct-96,927.31,927.31,897.23,909.29
5712,30-Oct-96,0,0,0,929.03
5713,29-Oct-96,936.78,936.78,922.89,926.39
5714,28-Oct-96,936.84,948.37,934.64,935.89
5715,25-Oct-96,929.42,939.73,929.42,936.95
5716,24-Oct-96,953.48,956.45,928.45,932.77
5717,23-Oct-96,924.2,953.44,924.2,951.29
5718,22-Oct-96,896.87,924.83,896.87,919.09
5719,18-Oct-96,892.61,899.51,888.61,895
5720,17-Oct-96,891.42,893.33,880.76,892.07
5721,16-Oct-96,896.63,905.11,891.16,892.77
5722,15-Oct-96,892.07,902.74,885.23,897.77
5723,14-Oct-96,907.26,907.26,890.71,892.05
5724,11-Oct-96,900.11,915.59,897.6,908.79
5725,10-Oct-96,874.2,900.53,872.83,898.42
5726,9-Oct-96,873.18,875.85,859.35,874.72
5727,8-Oct-96,872.57,876.78,850.52,873.9
5728,7-Oct-96,905.76,905.76,859.65,874
5729,4-Oct-96,924.93,925.93,898.47,904.12
5730,3-Oct-96,937.16,943.38,921.18,924.92
5731,1-Oct-96,944.51,945.66,933.56,936.27
5732,30-Sep-96,945.68,948.41,932.27,943.96
5733,27-Sep-96,958.79,958.83,942.05,947.23
5734,26-Sep-96,970.76,970.89,955.6,959.31
5735,25-Sep-96,967.98,981.75,967.98,971.29
5736,24-Sep-96,968.78,972.74,965.69,968.91
5737,23-Sep-96,976.08,976.08,963.19,968.84
5738,20-Sep-96,979.14,984.45,973.09,977.03
5739,19-Sep-96,996.41,1001.25,975.85,977.76
5740,18-Sep-96,972.73,996.97,969.67,994.43
5741,17-Sep-96,965.02,975.19,962.93,971.21
5742,16-Sep-96,980.69,980.69,959.65,962.27
5743,13-Sep-96,991.65,991.86,979.8,980.72
5744,12-Sep-96,990.88,992.68,981.01,989.28
5745,11-Sep-96,1001.86,1008.79,989.71,991.34
5746,10-Sep-96,1014.87,1014.87,996.75,1001.15
5747,9-Sep-96,1030.42,1031.22,1012.34,1013.88
5748,6-Sep-96,1038.04,1038.79,1029.96,1032.09
5749,5-Sep-96,1028.06,1038.31,1028.06,1037.47
5750,4-Sep-96,1022.37,1028.26,1012.15,1026.41
5751,3-Sep-96,1039.84,1046.51,1017.46,1023.27
5752,2-Sep-96,1028.91,1039.98,1028.91,1036.95
5753,30-Aug-96,1025.91,1029.89,1023.44,1029
5754,29-Aug-96,1028.7,1035.59,1024.67,1025.86
5755,28-Aug-96,1015.01,1029.49,1015.01,1027.09
5756,27-Aug-96,1009.9,1016.59,1006.02,1014.68
5757,26-Aug-96,1011.12,1016.63,1007.25,1009.04
5758,23-Aug-96,1001.38,1014.78,1000.49,1012.71
5759,22-Aug-96,1001.45,1010.4,999.85,1002.17
5760,21-Aug-96,980.23,1001.84,980.23,999.19
5761,20-Aug-96,973.13,980.78,968.76,977.34
5762,19-Aug-96,1001.19,1001.19,972.96,975.66
5763,16-Aug-96,1018.28,1019.64,1001.35,1002.25
5764,14-Aug-96,1021.18,1027.95,1017.43,1018.48
5765,13-Aug-96,1031.05,1031.05,1021.67,1024.43
5766,12-Aug-96,1038.11,1039.93,1030.4,1032.17
5767,9-Aug-96,1038.76,1042.25,1033.46,1037.91
5768,8-Aug-96,1050.43,1054.29,1037.94,1039.24
5769,7-Aug-96,1036.59,1050.54,1033.52,1048.59
5770,6-Aug-96,1031.8,1038.04,1023.73,1035.51
5771,5-Aug-96,1035.73,1038.2,1030.34,1032.29
5772,2-Aug-96,1036.34,1036.48,1024.8,1032.94
5773,1-Aug-96,1047.47,1054.08,1035.3,1036.63
5774,31-Jul-96,1017.06,1047.04,1004.76,1042.81
5775,30-Jul-96,1031.01,1031.01,999.03,1014.91
5776,29-Jul-96,1054.51,1057.84,1030.87,1033.97
5777,26-Jul-96,1062.04,1066.12,1046.46,1051.24
5778,25-Jul-96,1069.27,1075.79,1060.6,1062.68
5779,24-Jul-96,1090.74,1090.74,1049.88,1069.43
